Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Number of Scaffolds	Assembly Sequencing Tech	CheckM completeness	CheckM contamination
GCA_001625175.1	ViCECT7692_1.0	Vibrio jasicida	766224		BFLP-10						5945135	Scaffold	2016-04-13	BCNC01	43831	44761	442	Illumina MiSeq	100	0.3
GCF_001625175.1	ViCECT7692_1.0	Vibrio jasicida	766224		CECT 7692					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5945135	Scaffold	2016-04-13	BCNC01	43831	44761	442	Illumina MiSeq	100	0.3
GCA_003026235.1	ASM302623v1	Photobacterium leiognathi	553611		ATCC 25521					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4625642	Contig	2018-03-31	PYOI01	117815			Illumina MiSeq	98.33	0.7
GCF_003026235.1	ASM302623v1	Photobacterium leiognathi	553611		ATCC 25521					GCF_003026235.1-RS_2024_08_12	4625642	Contig	2018-03-31	PYOI01	117815			Illumina MiSeq	98.33	0.7
GCA_000950415.1	CFSAN029437_01.0	Photobacterium leiognathi	553611		ATCC 25521					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4607317	Contig	2015-03-10	JZSK01	87333			IonTorrent PGM	93.92	0.76
GCF_000950415.1	CFSAN029437_01.0	Photobacterium leiognathi	553611		ATCC 25521					GCF_000950415.1-RS_2024_04_21	4607317	Contig	2015-03-10	JZSK01	87333			IonTorrent PGM	93.92	0.76
GCA_900163915.1	V_gazogenes _CECT5068T_Velvet_Prokka_EMBL	Vibrio gazogenes	687		type strain: CECT 5068					Annotation submitted by UVEG	4018107	Contig	2017-02-11	FULF01	45732				72.44	3.52
GCF_900163915.1	V_gazogenes _CECT5068T_Velvet_Prokka_EMBL	Vibrio gazogenes	687		CECT 5068T					GCF_900163915.1-RS_2024_08_20	4018107	Contig	2017-02-11	FULF01	45732				72.44	3.52
GCA_900129185.1	IMG-taxon 2582581274 annotated assembly	Vibrio gazogenes DSM 21264 = NBRC 103151	1123492		DSM 21264					Annotation submitted by DOE - JOINT GENOME INSTITUTE	4635841	Scaffold	2016-12-03	FQUH01	163466	165718	45		91.96	4.2
GCF_900129185.1	IMG-taxon 2582581274 annotated assembly	Vibrio gazogenes DSM 21264 = NBRC 103151	1123492		DSM 21264					GCF_900129185.1-RS_2024_04_11	4635841	Scaffold	2016-12-03	FQUH01	163466	165718	45		91.96	4.2
GCA_000565345.1	costicolaLMG11651	Salinivibrio costicola subsp. costicola ATCC 33508 = LMG 11651	1269942		LMG 11651						3379634	Contig	2014-01-07	AQOF01	42358			IonTorrent	67.5	0.79
GCF_000565345.1	costicolaLMG11651	Salinivibrio costicola subsp. costicola ATCC 33508 = LMG 11651	1269942		LMG 11651					GCF_000565345.1-RS_2024_04_22	3379634	Contig	2014-01-07	AQOF01	42358			IonTorrent	67.5	0.79
GCA_000222585.2	ASM22258v1	Vibrio scophthalmi LMG 19158	870967		LMG 19158					Annotation submitted by FDA	4854288	Contig	2011-08-04	AFWE01	72536			454 FLX Titanium	98.81	0.84
GCF_000222585.1	ASM22258v1	Vibrio scophthalmi LMG 19158	870967		LMG 19158					GCF_000222585.1-RS_2024_03_31	4854288	Contig	2011-08-04	AFWE01	72536			454 FLX Titanium	98.81	0.84
GCA_030160215.1	ASM3016021v1	Vibrio penaeicida	104609		NBRC 15640					Annotation submitted by Institution of Microbiology, Chinese Academy of Science(WDCM)	6670746	Scaffold	2023-02-16	BSNX01	216650	276085	75	Illumina	98.4	4.76
GCF_030160215.1	ASM3016021v1	Vibrio penaeicida	104609		NBRC 15640					GCF_030160215.1-RS_2024_06_02	6670746	Scaffold	2023-02-16	BSNX01	216650	276085	75	Illumina	98.4	4.76
GCA_000830505.1	ASM83050v1	Vibrio mytili	50718		CAIM 528					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4610819	Contig	2015-01-30	JXOK01	122372			IonTorrent	85.22	2.95
GCF_000830505.1	ASM83050v1	Vibrio mytili	50718		CAIM 528					GCF_000830505.1-RS_2024_04_29	4610819	Contig	2015-01-30	JXOK01	122372			IonTorrent	85.22	2.95
GCA_003970425.1	ASM397042v1	Vibrio penaeicida	104609		CAIM 285					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6568793	Scaffold	2018-12-24	RXYX01	25726	25916	576	Illumina MiniSeq	97.57	6.02
GCF_003970425.1	ASM397042v1	Vibrio penaeicida	104609		CAIM 285					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6568793	Scaffold	2018-12-24	RXYX01	25726	25916	576	Illumina MiniSeq	97.57	6.02
GCA_001048535.1	VLGP7_PRJEB5883	Vibrio crassostreae	246167		LGP7					Annotation submitted by STATION BIOLOGIQUE DE ROSCOFF	5630363	Contig	2015-06-30	CCJW01	270473				99.87	0.72
GCF_001048535.1	VLGP7_PRJEB5883	Vibrio crassostreae	246167		LGP7					GCF_001048535.1-RS_2024_04_21	5630363	Contig	2015-06-30	CCJW01	270473				99.87	0.72
GCA_006333845.1	ASM633384v1	Vibrio tasmaniensis	212663		LMG 20012						4829746	Contig	2019-06-12	VARQ01	106221			Illumina	99.55	0.48
GCF_006333845.1	ASM633384v1	Vibrio tasmaniensis	212663		LMG 20012					GCF_006333845.1-RS_2024_05_04	4829746	Contig	2019-06-12	VARQ01	106221			Illumina	99.55	0.48
GCA_000740015.1	ASM74001v1	Vibrio diazotrophicus NBRC 103148	1348635		NBRC 103148						4721754	Contig	2014-08-02	BBJY01	250787			454 GS-FLX Titanium; Illumina HiSeq 1000	98.75	2.29
GCF_000740015.1	ASM74001v1	Vibrio diazotrophicus NBRC 103148	1348635		NBRC 103148					GCF_000740015.1-RS_2024_08_09	4721754	Contig	2014-08-02	BBJY01	250787			454 GS-FLX Titanium; Illumina HiSeq 1000	98.75	2.29
GCA_900167345.1	IMG-taxon 2568526007 annotated assembly	Vibrio cincinnatiensis DSM 19608	1123491		DSM 19608					Annotation submitted by DOE - JOINT GENOME INSTITUTE	3665830	Scaffold	2017-03-04	FUXB01	185712	222082	57		96.71	1.76
GCF_900167345.1	IMG-taxon 2568526007 annotated assembly	Vibrio cincinnatiensis DSM 19608	1123491		DSM 19608					GCF_900167345.1-RS_2024_07_26	3665830	Scaffold	2017-03-04	FUXB01	185712	222082	57		96.71	1.76
GCA_030160355.1	ASM3016035v1	Vibrio hyugaensis	1534743		NBRC 110633					Annotation submitted by Institution of Microbiology, Chinese Academy of Science(WDCM)	5523542	Scaffold	2023-02-15	BSOE01	220503	287443	59	Illumina	100	0.38
GCF_030160355.1	ASM3016035v1	Vibrio hyugaensis	1534743		NBRC 110633					GCF_030160355.1-RS_2024_06_02	5523542	Scaffold	2023-02-15	BSOE01	220503	287443	59	Illumina	100	0.38
GCA_001995845.1	ASM199584v1	Salinivibrio kushneri	1908198		AL184					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3447376	Contig	2017-02-14	MUEK01	198024			Illumina HiSeq	93.7	0.65
GCF_001995845.1	ASM199584v1	Salinivibrio kushneri	1908198		AL184					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3447376	Contig	2017-02-14	MUEK01	198024			Illumina HiSeq	93.7	0.65
GCA_000818435.1	ASM81843v1	Vibrio hyugaensis	1534743		090810a						5494662	Scaffold	2015-01-09	BBLD01	191228	191228	71	Illumina MiSeq	100	0.38
GCF_000818435.1	ASM81843v1	Vibrio hyugaensis	1534743		090810a					GCF_000818435.1-RS_2024_08_08	5494662	Scaffold	2015-01-09	BBLD01	191228	191228	71	Illumina MiSeq	100	0.38
GCA_002156475.1	ASM215647v1	Vibrio gigantis	296199		LGP 13						5677079	Contig	2017-05-22	MVJE01	187546			Illumina MiSeq	99.33	0.98
GCF_002156475.1	ASM215647v1	Vibrio gigantis	296199		LGP 13					GCF_002156475.1-RS_2024_03_29	5677079	Contig	2017-05-22	MVJE01	187546			Illumina MiSeq	99.33	0.98
GCA_008801285.1	ASM880128v1	Vibrio kanaloae	170673		CCUG 56968					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4580125	Contig	2019-10-01	VZPY01	298987			Illumina MiSeq	99.78	1.24
GCF_008801285.1	ASM880128v1	Vibrio kanaloae	170673		CCUG 56968					GCF_008801285.1-RS_2024_04_23	4580125	Contig	2019-10-01	VZPY01	298987			Illumina MiSeq	99.78	1.24
GCA_000222645.2	ASM22264v2	Vibrio orientalis CIP 102891 = ATCC 33934	675816		CIP 102891					Annotation submitted by Food and Drug Administration	4653015	Contig	2011-08-04	AFWH01	125886			454 FLX Titanium	99.88	1.45
GCF_000222645.1	ASM22264v2	Vibrio orientalis CIP 102891 = ATCC 33934	675816		ATCC 33934					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4653015	Contig	2011-08-04	AFWH01	125886			454 FLX Titanium	99.88	1.45
GCA_000467165.1	ASM46716v1	Vibrio azureus NBRC 104587	1219077		NBRC 104587					Annotation submitted by National Institute of Technology and Evaluation	4716275	Contig	2013-09-13	BATL01	60692			454 GS-FLX Titanium; Illumina HiSeq 1000	97.84	0.5
GCF_000467165.1	ASM46716v1	Vibrio azureus NBRC 104587	1219077		NBRC 104587					GCF_000467165.1-RS_2024_08_08	4716275	Contig	2013-09-13	BATL01	60692			454 GS-FLX Titanium; Illumina HiSeq 1000	97.84	0.5
GCA_000400265.1	ASM40026v1	Vibrio azureus NBRC 104587	1219077		NBRC 104587						4768656	Scaffold	2013-05-15	BAOB01	25467	25467	783	Illumina MiSeq	97.63	0.59
GCF_000400265.1	ASM40026v1	Vibrio azureus NBRC 104587	1219077		NBRC 104587					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4768656	Scaffold	2013-05-15	BAOB01	25467	25467	783	Illumina MiSeq	97.63	0.59
GCA_000176155.1	ASM17615v1	Vibrio metschnikovii CIP 69.14	675813		CIP 69.14					Annotation submitted by Los Alamos National Laboratory (LANL), National Microbial Pathogen Data Resource (NMPDR)	3815101	Contig	2009-10-06	ACZO01	877075				95.88	0.7
GCF_000176155.1	ASM17615v1	Vibrio metschnikovii CIP 69.14	675813		CIP 69.14					GCF_000176155.1-RS_2024_04_01	3815101	Contig	2009-10-06	ACZO01	877075				95.88	0.7
GCA_900163965.1	V_ruber_CECT7878T_Velvet_Prokka_EMBL	Vibrio ruber DSM 16370	1123498		CECT 7878					Annotation submitted by UVEG	4622997	Contig	2017-02-11	FULE01	110014				91.7	2.9
GCF_900163965.1	V_ruber_CECT7878T_Velvet_Prokka_EMBL	Vibrio ruber DSM 16370	1123498		CECT 7878T					GCF_900163965.1-RS_2024_08_20	4622997	Contig	2017-02-11	FULE01	110014				91.7	2.9
GCA_000222685.2	ASM22268v1	Vibrio nigripulchritudo ATCC 27043	1051649		ATCC 27043					Annotation submitted by Food and Drug Administration	6113582	Contig	2011-08-04	AFWJ01	35691			454 FLX Titanium	96.71	3.83
GCF_000222685.1	ASM22268v1	Vibrio nigripulchritudo ATCC 27043	1051649		ATCC 27043					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6113582	Contig	2011-08-04	AFWJ01	35691			454 FLX Titanium	96.71	3.83
GCA_000257205.1	ASM25720v1	Vibrio ordalii ATCC 33509	990998		ATCC 33509						3412166	Contig	2011-06-22	AEZC01	29345			454	97.06	0.13
GCF_000257205.1	ASM25720v1	Vibrio ordalii ATCC 33509	990998		ATCC 33509					GCF_000257205.1-RS_2024_06_22	3412166	Contig	2011-06-22	AEZC01	29345			454	97.06	0.13
GCA_030409755.1	ASM3040975v1	Vibrio lentus	136468		CECT 5110					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5903305	Contig	2023-07-05	JAUFQE01	3699116			Illumina	98.58	0.78
GCF_030409755.1	ASM3040975v1	Vibrio lentus	136468		CECT 5110					GCF_030409755.1-RS_2024_07_07	5903305	Contig	2023-07-05	JAUFQE01	3699116			Illumina	98.58	0.78
GCA_030409575.1	ASM3040957v1	Vibrio ostreicida	526588		CECT 7398					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5057276	Contig	2023-07-05	JAUFQC01	3099831			Illumina	97.13	6.94
GCF_030409575.1	ASM3040957v1	Vibrio ostreicida	526588		CECT 7398					GCF_030409575.1-RS_2024_07_07	5057276	Contig	2023-07-05	JAUFQC01	3099831			Illumina	97.13	6.94
GCA_003025595.1	ASM302559v1	Photobacterium ganghwense	320778		JCM 12487					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5533005	Contig	2018-03-31	PYMI01	877351			Illumina MiSeq	94.72	4.58
GCF_003025595.1	ASM302559v1	Photobacterium ganghwense	320778		JCM 12487					GCF_003025595.1-RS_2024_05_17	5533005	Contig	2018-03-31	PYMI01	877351			Illumina MiSeq	94.72	4.58
GCA_001029455.1	ASM102945v1	Photobacterium ganghwense	320778		DSM 22954					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5536932	Contig	2015-06-18	LDOU01	301012			Illumina MiSeq	94.72	4.58
GCF_001029455.1	ASM102945v1	Photobacterium ganghwense	320778		DSM 22954					GCF_001029455.1-RS_2024_05_17	5536932	Contig	2015-06-18	LDOU01	301012			Illumina MiSeq	94.72	4.58
GCA_001996225.1	ASM199622v1	Salinivibrio proteolyticus	334715		DSM 8285					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3498876	Contig	2017-02-14	MUFQ01	196230			Illumina HiSeq	94	
GCF_001996225.1	ASM199622v1	Salinivibrio proteolyticus	334715		DSM 8285					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3498876	Contig	2017-02-14	MUFQ01	196230			Illumina HiSeq	94	
GCA_014878155.1	ASM1487815v1	Vibrio lentus	136468		40M4T						5819982	Scaffold	2020-10-11	JADANL01	169299	178312	169	Illumina MiSeq	99.01	0.78
GCF_014878155.1	ASM1487815v1	Vibrio lentus	136468		40M4T					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5819982	Scaffold	2020-10-11	JADANL01	169299	178312	169	Illumina MiSeq	99.01	0.78
GCA_001996165.1	ASM199616v1	Salinivibrio proteolyticus	334715		DSM 19052					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3603496	Contig	2017-02-14	MUFP01	143067			Illumina MiSeq	93.75	
GCF_001996165.1	ASM199616v1	Salinivibrio proteolyticus	334715		DSM 19052					GCF_001996165.1-RS_2024_03_29	3603496	Contig	2017-02-14	MUFP01	143067			Illumina MiSeq	93.75	
GCA_000695255.1	Phalotolerans2753	Photobacterium galatheae	1654360		S2753					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4533138	Contig	2014-05-20	JMIB01	141239			Illumina HiSeq	72.17	4.7
GCF_000695255.1	Phalotolerans2753	Photobacterium galatheae	1654360		S2753					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4533138	Contig	2014-05-20	JMIB01	141239			Illumina HiSeq	72.17	4.7
GCA_003026275.1	ASM302627v1	Photobacterium phosphoreum	659		ATCC 11040					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4508250	Contig	2018-03-31	PYOH01	124777			Illumina MiSeq	96.98	1.02
GCF_003026275.1	ASM302627v1	Photobacterium phosphoreum	659		ATCC 11040					GCF_003026275.1-RS_2024_03_30	4508250	Contig	2018-03-31	PYOH01	124777			Illumina MiSeq	96.98	1.02
GCA_012395185.1	ASM1239518v1	Vibrio aestuarianus	28171		LMG 7909					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4149197	Contig	2020-04-15	JAAZTU01	96002			Illumina MiSeq	99.74	0.22
GCF_012395185.1	ASM1239518v1	Vibrio aestuarianus	28171		LMG 7909					GCF_012395185.1-RS_2024_04_03	4149197	Contig	2020-04-15	JAAZTU01	96002			Illumina MiSeq	99.74	0.22
GCA_000949955.1	CFSAN029438_01.0	Photobacterium phosphoreum	659		ATCC 11040					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4475676	Contig	2015-03-10	JZSJ01	83930			IonTorrent PGM	90.88	0.72
GCF_000949955.1	CFSAN029438_01.0	Photobacterium phosphoreum	659		ATCC 11040					GCF_000949955.1-RS_2024_07_06	4475676	Contig	2015-03-10	JZSJ01	83930			IonTorrent PGM	90.88	0.72
GCA_002156455.1	ASM215645v1	Vibrio coralliirubri	1516159		Corallo1						5445727	Contig	2017-05-22	MVJD01	57851			Illumina MiSeq	99.74	0.56
GCF_002156455.1	ASM215645v1	Vibrio coralliirubri	1516159		Corallo1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5445727	Contig	2017-05-22	MVJD01	57851			Illumina MiSeq	99.74	0.56
GCA_000152485.1	ASM15248v1	Vibrio antiquarius	150340		EX25					Annotation submitted by TIGR	4855962	Scaffold	2007-07-13	AAKK02	54690	116720	105		90.95	0.39
GCF_000152485.1	ASM15248v1	Vibrio antiquarius	150340		EX25					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4855962	Scaffold	2007-07-13	AAKK02	54690	116720	105		90.95	0.39
GCA_900450635.1	50450_F01	Grimontia hollisae	673		NCTC11640					Annotation submitted by SC	4035504	Contig	2018-08-01	UGHA01	3215332				99.39	0.45
GCF_900450635.1	50450_F01	Grimontia hollisae	673		NCTC11640					GCF_900450635.1-RS_2024_07_29	4035504	Contig	2018-08-01	UGHA01	3215332				99.39	0.45
GCA_003026365.1	ASM302636v1	Photobacterium angustum	661		ATCC 25915					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4969311	Contig	2018-03-31	PYOM01	201170			Illumina MiSeq	99.35	0.33
GCF_003026365.1	ASM302636v1	Photobacterium angustum	661		ATCC 25915					GCF_003026365.1-RS_2024_05_17	4969311	Contig	2018-03-31	PYOM01	201170			Illumina MiSeq	99.35	0.33
GCA_000950005.1	CFSAN029433_01.0	Photobacterium angustum	661		ATCC 25915					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4935352	Contig	2015-03-10	JZSO01	183096			IonTorrent PGM	94.84	0.39
GCF_000950005.1	CFSAN029433_01.0	Photobacterium angustum	661		ATCC 25915					GCF_000950005.1-RS_2024_04_21	4935352	Contig	2015-03-10	JZSO01	183096			IonTorrent PGM	94.84	0.39
GCA_000400425.1	ASM40042v1	Vibrio sagamiensis NBRC 104589	1219064		NBRC 104589						4557580	Scaffold	2013-05-15	BAOJ01	50295	50295	504	Illumina MiSeq	97.71	0.94
GCF_000400425.1	ASM40042v1	Vibrio sagamiensis NBRC 104589	1219064		NBRC 104589					GCF_000400425.1-RS_2024_09_09	4557580	Scaffold	2013-05-15	BAOJ01	50295	50295	504	Illumina MiSeq	97.71	0.94
GCA_002835505.1	ASM283550v1	Enterovibrio nigricans	504469		CAIM 661					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5007968	Contig	2017-12-12	PIYP01	34102			IonTorrent	50.74	3.82
GCF_002835505.1	ASM283550v1	Enterovibrio nigricans	504469		CAIM 661					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5007968	Contig	2017-12-12	PIYP01	34102			IonTorrent	50.74	3.82
GCA_012395215.1	ASM1239521v1	Vibrio aestuarianus subsp. francensis	1443279		02/041					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4196441	Scaffold	2020-04-15	JAAZTV01	2394840	2986630	2	Sanger; 454	98.82	0.15
GCF_012395215.1	ASM1239521v1	Vibrio aestuarianus subsp. francensis	1443279		02/041					GCF_012395215.1-RS_2024_05_12	4196441	Scaffold	2020-04-15	JAAZTV01	2394840	2986630	2	Sanger; 454	98.82	0.15
GCA_000176515.1	ASM17651v1	Grimontia hollisae CIP 101886	675812		CIP 101886					Annotation submitted by Los Alamos National Laboratory (LANL), National Microbial Pathogen Data Resource (NMPDR)	4002786	Contig	2009-10-29	ADAQ01	1078387				99.39	0.27
GCF_000176515.1	ASM17651v1	Grimontia hollisae CIP 101886	675812		CIP 101886					GCF_000176515.1-RS_2024_07_29	4002786	Contig	2009-10-29	ADAQ01	1078387				99.39	0.27
GCA_017169525.1	ASM1716952v1	Vibrio paracholerae	650003		EDC-792					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3805611	Contig	2021-03-05	WYCC01	181406			Illumina	99.74	0.03
GCF_017169525.1	ASM1716952v1	Vibrio paracholerae	650003		EDC-792					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3805611	Contig	2021-03-05	WYCC01	181406			Illumina	99.74	0.03
GCA_000496695.1	ASM49669v1	Vibrio halioticoli NBRC 102217	1219072		NBRC 102217					Annotation submitted by National Institute of Technology and Evaluation	4013925	Contig	2013-11-05	BAUJ01	61825			454 GS-FLX Titanium; Illumina HiSeq 1000	91.66	1.5
GCF_000496695.1	ASM49669v1	Vibrio halioticoli NBRC 102217	1219072		NBRC 102217					GCF_000496695.1-RS_2024_09_02	4013925	Contig	2013-11-05	BAUJ01	61825			454 GS-FLX Titanium; Illumina HiSeq 1000	91.66	1.5
GCA_011090275.1	ASM1109027v1	Vibrio aestuarianus subsp. cardii	2807650		12/122 3T3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4350651	Contig	2020-03-09	JAAKZN01	50782			Illumina MiSeq	99.86	0.94
GCF_011090275.1	ASM1109027v1	Vibrio aestuarianus subsp. cardii	2807650		12/122 3T3					GCF_011090275.1-RS_2024_09_08	4350651	Contig	2020-03-09	JAAKZN01	50782			Illumina MiSeq	99.86	0.94
GCA_030409595.1	ASM3040959v1	Vibrio gallaecicus	552386		CECT 7244					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5659041	Contig	2023-07-05	JAUFQD01	1377293			Illumina	99.43	6.44
GCF_030409595.1	ASM3040959v1	Vibrio gallaecicus	552386		CECT 7244					GCF_030409595.1-RS_2024_07_07	5659041	Contig	2023-07-05	JAUFQD01	1377293			Illumina	99.43	6.44
GCA_030160675.1	ASM3016067v1	Aliivibrio sifiae	566293		NBRC 105001					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	4714586	Scaffold	2023-02-15	BSOU01	483621	483621	122	Illumina	99.91	0.48
GCF_030160675.1	ASM3016067v1	Aliivibrio sifiae	566293		NBRC 105001					GCF_030160675.1-RS_2024_06_02	4714586	Scaffold	2023-02-15	BSOU01	483621	483621	122	Illumina	99.91	0.48
GCA_900089765.1	VtoranzoniaeCECT7225_SPAdes_Prokka	Vibrio toranzoniae	1194427		CECT 7225					Annotation submitted by UVEG	4563366	Contig	2016-06-28	FLOD01	418274				99.61	0.53
GCF_900089765.1	VtoranzoniaeCECT7225_SPAdes_Prokka	Vibrio toranzoniae	1194427		CECT 7225					GCF_900089765.1-RS_2024_08_20	4563366	Contig	2016-06-28	FLOD01	418274				99.61	0.53
GCA_005281825.1	ASM528182v1	Vibrio gallaecicus	552386		DSM 23502						4999218	Contig	2019-05-13	SZXU01	316420			Illumina HiSeq	99.95	1.85
GCF_005281825.1	ASM528182v1	Vibrio gallaecicus	552386		DSM 23502					GCF_005281825.1-RS_2024_03_28	4999218	Contig	2019-05-13	SZXU01	316420			Illumina HiSeq	99.95	1.85
GCA_013416885.1	ASM1341688v1	Vibrio gallaecicus	552386		VB 8.9						4999218	Contig	2020-07-16	SZZR01	316420			Illumina HiSeq	99.9	1.85
GCF_013416885.1	ASM1341688v1	Vibrio gallaecicus	552386		VB 8.9					GCF_013416885.1-RS_2024_09_03	4999218	Contig	2020-07-16	SZZR01	316420			Illumina HiSeq	99.9	1.85
GCA_014863865.1	A649	Enterovibrio baiacu	2491023		A649					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5371326	Contig	2020-10-08	RQRX01	283124			Illumina MiSeq	91.81	4.85
GCF_014863865.1	A649	Enterovibrio baiacu	2491023		A649					GCF_014863865.1-RS_2024_04_04	5371326	Contig	2020-10-08	RQRX01	283124			Illumina MiSeq	91.81	4.85
GCA_001541335.1	ASM154133v1	Vibrio toranzoniae	1194427		Vb 10.8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4537316	Contig	2016-01-26	LMXU01	221494			Illumina HiSeq	99.8	0.53
GCF_001541335.1	ASM154133v1	Vibrio toranzoniae	1194427		Vb 10.8					GCF_001541335.1-RS_2024_08_05	4537316	Contig	2016-01-26	LMXU01	221494			Illumina HiSeq	99.8	0.53
GCA_008933155.1	ASM893315v1	Aliivibrio finisterrensis	511998		LMG 23869					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3916971	Contig	2019-10-09	WBVP01	168183			NovaSeq 6000	99.66	0.04
GCF_008933155.1	ASM893315v1	Aliivibrio finisterrensis	511998		LMG 23869					GCF_008933155.1-RS_2024_04_23	3916971	Contig	2019-10-09	WBVP01	168183			NovaSeq 6000	99.66	0.04
GCA_009857245.1	ASM985724v1	Vibrio tetraodonis subsp. pristinus	2695891		OCN044					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4613523	Scaffold	2020-01-12	WWEU01	666375	666375	30	Illumina NextSeq	96.08	0.52
GCF_009857245.1	ASM985724v1	Vibrio tetraodonis subsp. pristinus	2695891		OCN044					GCF_009857245.1-RS_2024_08_31	4613523	Scaffold	2020-01-12	WWEU01	666375	666375	30	Illumina NextSeq	96.08	0.52
GCA_001274805.1	ASM127480v1	Vibrio nereis	693		DSM 19584					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4096630	Contig	2015-08-26	LHPJ01	285193			Illumina MiSeq	98.99	0.51
GCF_001274805.1	ASM127480v1	Vibrio nereis	693		DSM 19584					GCF_001274805.1-RS_2024_05_17	4096630	Contig	2015-08-26	LHPJ01	285193			Illumina MiSeq	98.99	0.51
GCA_039544775.1	ASM3954477v1	Vibrio proteolyticus	671		NBRC 13287					Annotation submitted by Biological Resource Center, National Institute of Technology and Evaluation (NBRC)	4751873	Contig	2024-03-26	BAABTA01	267191			NextSeq2000	99.49	0.8
GCF_039544775.1	ASM3954477v1	Vibrio proteolyticus	671		NBRC 13287					GCF_039544775.1-RS_2024_05_11	4751873	Contig	2024-03-26	BAABTA01	267191			NextSeq2000	99.49	0.8
GCA_007990955.1	ASM799095v1	Vibrio superstes NBRC 103154	1219062		NBRC 103154					Annotation submitted by National Institute of Technology and Evaluation	4662901	Contig	2019-08-01	BJXK01	238540			454 GS-FLX Titanium; Illumina HiSeq 1000	93.01	1.3
GCF_007990955.1	ASM799095v1	Vibrio superstes NBRC 103154	1219062		NBRC 103154					GCF_007990955.1-RS_2024_08_26	4662901	Contig	2019-08-01	BJXK01	238540			454 GS-FLX Titanium; Illumina HiSeq 1000	93.01	1.3
GCA_006538565.1	ASM653856v1	Vibrio comitans NBRC 102076	1219078		NBRC 102076					Annotation submitted by National Institute of Technology and Evaluation	4434207	Contig	2019-06-16	BJLH01	236561			454 GS-FLX Titanium; Illumina HiSeq 1000	93.96	0.95
GCF_006538565.1	ASM653856v1	Vibrio comitans NBRC 102076	1219078		NBRC 102076					GCF_006538565.1-RS_2024_08_26	4434207	Contig	2019-06-16	BJLH01	236561			454 GS-FLX Titanium; Illumina HiSeq 1000	93.96	0.95
GCA_006538525.1	ASM653852v1	Vibrio inusitatus NBRC 102082	1219070		NBRC 102082					Annotation submitted by National Institute of Technology and Evaluation	4348706	Contig	2019-06-16	BJLF01	196672			454 GS-FLX Titanium; Illumina HiSeq 1000	92.83	1.42
GCF_006538525.1	ASM653852v1	Vibrio inusitatus NBRC 102082	1219070		NBRC 102082					GCF_006538525.1-RS_2024_08_26	4348706	Contig	2019-06-16	BJLF01	196672			454 GS-FLX Titanium; Illumina HiSeq 1000	92.83	1.42
